SampleNames;Cells;batch;donor
BC_d1;BC;1;d1
BC_d3;BC;7;d3
BC_d2;BC;7;d2
BC_d5;BC;2;d5
BC_d4;BC;2;d4
CMP_d9 (GSM3099237);CMP;8;d9
CMP_d10 (GSM3099229);CMP;8;d10
CMP_d3;CMP;7;d3
HSC_d9 (GSM3099236);HSC;8;d9
HSC_d10 (GSM3099228);HSC;8;d10
HSC_d3;HSC;7;d3
MM_d1;MM;1;d1
MM_d5;MM;2;d5
MM_d3;MM;7;d3
MM_d2;MM;7;d2
MY_d2;MY;1;d2
MY_d5;MY;2;d5
MY_d4;MY;2;d4
MY_d3;MY;7;d3
NCP1_d2;NCP1;1;d2
NCP1_d1;NCP1;1;d1
NCP1_d3;NCP1;7;d3
NCP2_d2;NCP2;1;d2
NCP2_d1;NCP2;1;d1
NCP2_d3;NCP2;7;d3
NCP3_d2;NCP3;1;d2
NCP3_d1;NCP3;1;d1
NCP3_d3;NCP3;7;d3
NCP4_d2;NCP4;1;d2
NCP4_d1;NCP4;1;d1
NCP4_d3;NCP4;7;d3
PM_d1;PM;1;d1
PM_d2;PM;1;d2
PM_d3;PM;7;d3
PMN_d6;PMN;2;d6
PMN_d7;PMN;2;d7
PMN_d8;PMN;3;d8
PMN_d2;PMN;4;d2
SC_d2;SC;1;d2
SC_d1;SC;1;d1
SC_d5;SC;2;d5
SC_d4;SC;2;d4
SC_d3;SC;7;d3
